ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
44	Cacaopera	13.74	-88.11	caca1247	Misumalpan	BREAST	sum	s u m	3 7 4	AXN	SYM	1	1.S.C 1.Y.V 1.M.c	2.0 1.5 0.8	sum	0	31	
96	Mayangna	14.13	-84.34	maya1285	Misumalpan	BREAST	ta	t a	1 7	AX	TA	2	2.T.C 2.A.V	2.0 1.5	ta	0	32	t a
148	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	BREAST	ta	t a	1 7	AX	TA	4	4.T.C 4.A.V	2.0 1.5	ta	0	32	t a
168	Miskito	15.1576	-84.2942	misk1235	Misumalpan	BREAST	won_tialka	w o n + t i a l k a	6 7 4 9 1 7 7 5 1 7	AXN_AXYMBZ	WUN_TIALKA	3	3.W.C 3.U.V 3.N.c 3._._ 3.T.C 3.I.V 3.A.V 3.L.c 3.K.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.3 1.1 1.75 0.8	won+tialka	0	33	
169	Miskito	15.1576	-84.2942	misk1235	Misumalpan	CARRY	briwaia	b r i w a i a	1 5 7 6 7 7 7	ACXBYYZ	PRIWAIA	3	3.P.C 3.R.C 3.I.V 3.W.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.5 1.75 1.3 1.3 0.8	briwaia	0	34	
48	Cacaopera	13.74	-88.11	caca1247	Misumalpan	COME	ajra	a j r a	7 6 5 7	XMBZ	AJRA	1	1.A.V 1.J.c 1.R.C 1.A.V	1.5 1.1 1.75 0.8	ajra	0	36	a j r a
100	Mayangna	14.13	-84.34	maya1285	Misumalpan	COME	ajwa	a j w a	7 6 6 7	XMBZ	AJWA	2	2.A.V 2.J.c 2.W.C 2.A.V	1.5 1.1 1.75 0.8	ajwa	0	36	a j w a
152	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	COME	ajwa	a j w a	7 6 6 7	XMBZ	AJWA	4	4.A.V 4.J.c 4.W.C 4.A.V	1.5 1.1 1.75 0.8	ajwa	0	36	a j w a
170	Miskito	15.1576	-84.2942	misk1235	Misumalpan	COME	balaia	b a l a i a	1 7 5 7 7 7	AXBYYZ	PALAIA	3	3.P.C 3.A.V 3.L.C 3.A.V 3.I.V 3.A.V	2.0 1.5 1.75 1.3 1.3 0.8	balaia	0	37	
26	Cacaopera	13.74	-88.11	caca1247	Misumalpan	CRY	walwa	w a l w a	6 7 5 6 7	AXBCZ	WALWA	1	1.W.C 1.A.V 1.L.C 1.W.C 1.A.V	2.0 1.5 1.75 1.5 0.8	walwa	0	38	
78	Mayangna	14.13	-84.34	maya1285	Misumalpan	CRY	ajdi	a j d i	7 6 1 7	XMBZ	AJTI	2	2.A.V 2.J.c 2.T.C 2.I.V	1.5 1.1 1.75 0.8	ajdi	0	39	a j d i
130	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	CRY	ajda	a j d a	7 6 1 7	XMBZ	AJTA	4	4.A.V 4.J.c 4.T.C 4.A.V	1.5 1.1 1.75 0.8	ajda	0	39	a j d a
171	Miskito	15.1576	-84.2942	misk1235	Misumalpan	CRY	inaia	i n a i a	7 4 7 7 7	XBYYZ	INAIA	3	3.I.V 3.N.C 3.A.V 3.I.V 3.A.V	1.5 1.75 1.3 1.3 0.8	inaia	0	40	
36	Cacaopera	13.74	-88.11	caca1247	Misumalpan	DOG	alu	a l u	7 5 7	XBZ	ALY	1	1.A.V 1.L.C 1.Y.V	1.5 1.75 0.8	alu	0	42	- a l u
88	Mayangna	14.13	-84.34	maya1285	Misumalpan	DOG	sulu	s u l u	3 7 5 7	AXBZ	SYLY	2	2.S.C 2.Y.V 2.L.C 2.Y.V	2.0 1.5 1.75 0.8	sulu	0	42	s u l u
140	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	DOG	sulu	s u l u	3 7 5 7	AXBZ	SYLY	4	4.S.C 4.Y.V 4.L.C 4.Y.V	2.0 1.5 1.75 0.8	sulu	0	42	s u l u
4	Cacaopera	13.74	-88.11	caca1247	Misumalpan	DRINK	dipa	d i p a	1 7 1 7	AXBZ	TIPA	1	1.T.C 1.I.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	dipa	0	43	d i p - a
56	Mayangna	14.13	-84.34	maya1285	Misumalpan	DRINK	di	d i	1 7	AX	TI	2	2.T.C 2.I.V	2.0 1.5	di	0	43	d i - - -
108	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	DRINK	di	d i	1 7	AX	TI	4	4.T.C 4.I.V	2.0 1.5	di	0	43	d i - - -
172	Miskito	15.1576	-84.2942	misk1235	Misumalpan	DRINK	diaia	d i a i a	1 7 7 7 7	AXYYZ	TIAIA	3	3.T.C 3.I.V 3.A.V 3.I.V 3.A.V	2.0 1.5 1.3 1.3 0.8	diaia	0	43	d i a i a
