ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
180	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FIRE	pauta	p a u t a	67	
38	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FISH	jal	j a l	68	
90	Mayangna	14.13	-84.34	maya1285	Misumalpan	FISH	was padini	w a s + p a d i n i	69	w a s + p a d i n i
142	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FISH	was padika	w a s + p a d i k a	69	w a s + p a d i k a
181	Miskito	15.1576	-84.2942	misk1235	Misumalpan	FISH	inska	i n s k a	70	
13	Cacaopera	13.74	-88.11	caca1247	Misumalpan	GIVE	a	a	72	a
65	Mayangna	14.13	-84.34	maya1285	Misumalpan	GIVE	a:	aː	72	aː
117	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	GIVE	a:	aː	72	aː
183	Miskito	15.1576	-84.2942	misk1235	Misumalpan	GIVE	yabaia	j a b a i a	73	
6	Cacaopera	13.74	-88.11	caca1247	Misumalpan	GOOD	kua	k u a	75	
58	Mayangna	14.13	-84.34	maya1285	Misumalpan	GOOD	jamni	j a m n i	76	j a m ( n i )
110	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	GOOD	jamka	j a m k a	76	j a m ( k a )
185	Miskito	15.1576	-84.2942	misk1235	Misumalpan	GOOD	yamni	j a m n i	76	j a m ( n i )
7	Cacaopera	13.74	-88.11	caca1247	Misumalpan	HAIR	kili	k i l i	78	
59	Mayangna	14.13	-84.34	maya1285	Misumalpan	HAIR	bas	b a s	79	b a s
111	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	HAIR	bas	b a s	79	b a s
186	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HAIR	won_tawa	w o n + t a w a	80	
187	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HARD	karna	k a r n a	81	
32	Cacaopera	13.74	-88.11	caca1247	Misumalpan	HEAR	ara	a r a	84	- a ( r ) a
84	Mayangna	14.13	-84.34	maya1285	Misumalpan	HEAR	daka	d a k a	84	d a ( k ) a
136	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	HEAR	daka	d a k a	84	d a ( k ) a
189	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HEAR	walaia	w a l a i a	85	
37	Cacaopera	13.74	-88.11	caca1247	Misumalpan	HEAVY	wim	w i m	88	w i m -
89	Mayangna	14.13	-84.34	maya1285	Misumalpan	HEAVY	tihni	t i h n i	89	t i h n i
141	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	HEAVY	ti:ka	t iː k a	89	t iː k - a
190	Miskito	15.1576	-84.2942	misk1235	Misumalpan	HEAVY	wira	w i r a	88	w i r a
52	Cacaopera	13.74	-88.11	caca1247	Misumalpan	I	jami	j a m i	93	
104	Mayangna	14.13	-84.34	maya1285	Misumalpan	I	jaŋ	j a ŋ	94	j a ŋ
156	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	I	jaŋ	j a ŋ	94	j a ŋ
194	Miskito	15.1576	-84.2942	misk1235	Misumalpan	I	yaŋ	j a ŋ	94	j a ŋ
40	Cacaopera	13.74	-88.11	caca1247	Misumalpan	LAUGH	isnawa	i s n a w a	5	- i s n a w a
92	Mayangna	14.13	-84.34	maya1285	Misumalpan	LAUGH	aɾa	a ɾ a	3	( - - - ) a ɾ a
144	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	LAUGH	kawaɾa	k a w a ɾ a	3	( k a w ) a ɾ a
198	Miskito	15.1576	-84.2942	misk1235	Misumalpan	LAUGH	kikaia	k i k a i a	26	k i k a i - a
20	Cacaopera	13.74	-88.11	caca1247	Misumalpan	LEAF	taka	t a k a	102	
72	Mayangna	14.13	-84.34	maya1285	Misumalpan	LEAF	bas	b a s	103	b a s
124	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	LEAF	bas	b a s	103	b a s
199	Miskito	15.1576	-84.2942	misk1235	Misumalpan	LEAF	waxya	w a x j a	104	
19	Cacaopera	13.74	-88.11	caca1247	Misumalpan	LIVER	kawa	k a w a	105	
71	Mayangna	14.13	-84.34	maya1285	Misumalpan	LIVER	isiŋ	i s i ŋ	106	i s i ŋ
123	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	LIVER	asuŋ	a s u ŋ	106	a s u ŋ
201	Miskito	15.1576	-84.2942	misk1235	Misumalpan	LIVER	won_auya	w o n + a u j a	107	
23	Cacaopera	13.74	-88.11	caca1247	Misumalpan	LONG	wisnika	w i s n i k a	35	
75	Mayangna	14.13	-84.34	maya1285	Misumalpan	LONG	najni	n a j n i	109	
127	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	LONG	juhka	j u h k a	110	j u h - k a
202	Miskito	15.1576	-84.2942	misk1235	Misumalpan	LONG	yarika	j a r i k a	110	j a r i k a
241	Cacaopera	13.74	-88.11	caca1247	Misumalpan	MOUNTAIN	karan	k a r a n	193	k a r a n
267	Mayangna	14.13	-84.34	maya1285	Misumalpan	MOUNTAIN	asaŋ	a s a ŋ	193	- a s a ŋ
243	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	MOUNTAIN	asaŋ	a s a ŋ	193	- a s a ŋ
5	Cacaopera	13.74	-88.11	caca1247	Misumalpan	MOUTH	tawa	t a w a	114	t a w a -
57	Mayangna	14.13	-84.34	maya1285	Misumalpan	MOUTH	tapas	t a p a s	114	t a p a s
109	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	MOUTH	tapas	t a p a s	114	t a p a s
204	Miskito	15.1576	-84.2942	misk1235	Misumalpan	MOUTH	won_bila	w o n + b i l a	115	
